28/08/2026;18:59;32004,49
28/08/2026;20:17;26855,18
28/08/2026;20:19;26478,84
28/08/2026;20:20;31459,28
28/08/2026;20:21;27217,23
28/08/2026;20:25;27265,44
28/08/2026;20:27;31762,59
28/08/2026;20:31;39345,08
28/08/2026;20:32;26675,21
28/08/2026;20:33;24395,75
28/08/2026;20:55;27861,30
28/08/2026;21:14;24701,67
28/08/2026;21:15;28135,02
29/08/2026;18:46;24200,22
29/08/2026;19:20;37644,06
29/08/2026;19:30;44003,79
29/08/2026;19:30;25685,61
29/08/2026;20:29;26794,57
29/08/2026;21:26;25812,12
29/08/2026;21:34;26316,11
29/08/2026;21:35;25399,07
29/08/2026;22:12;25821,88
29/08/2026;22:15;25234,71
